Company,Debt_Score,Profit_Score,Liquidity_Score,Efficiency_Score,PRS_Score,Lower_Bound,Upper_Bound,Uncertainty,Anomaly,Risk_Level
KIMCO REALTY CORP,8.85,4.94,20.44,21.67,55.9,50.66,61.14,5.24,Normal,Medium Risk
WEYERHAEUSER CO,7.85,19.44,15.5,13.1,55.89,50.65,61.13,5.24,Normal,Medium Risk
"NRG ENERGY, INC.",22.77,21.12,8.5,3.4,55.79,50.56,61.02,5.23,Normal,Medium Risk
"Mondelez International, Inc.",14.85,18.21,12.65,10.05,55.76,50.53,60.99,5.23,Normal,Medium Risk
KROGER CO,20.23,22.05,13.1,0.38,55.76,50.53,60.99,5.23,ANOMALY,Medium Risk
CLOROX CO /DE/,22.29,11.66,18.69,3.09,55.73,50.5,60.96,5.23,Normal,Medium Risk
Synchrony Financial,20.75,2.33,9.43,23.15,55.66,50.43,60.89,5.23,Normal,Medium Risk
"ZIMMER BIOMET HOLDINGS, INC.",8.47,16.05,16.63,14.51,55.66,50.43,60.89,5.23,Normal,Medium Risk
"NASDAQ, INC.",13.68,2.47,18.9,20.58,55.63,50.4,60.86,5.23,Normal,Medium Risk
AT&T INC.,15.36,9.02,15.26,15.91,55.55,50.33,60.77,5.22,Normal,Medium Risk
INTERNATIONAL FLAVORS & FRAGRANCES INC,6.24,20.64,15.78,12.83,55.49,49.67,61.31,5.82,Normal,Medium Risk
"STANLEY BLACK & DECKER, INC.",8.16,21.3,19.22,6.76,55.44,49.62,61.26,5.82,Normal,Medium Risk
"IonQ, Inc.",7.54,24.49,4.49,18.9,55.42,50.2,60.64,5.22,Normal,Medium Risk
MARTIN MARIETTA MATERIALS INC,8.92,8.26,22.87,15.33,55.38,50.16,60.6,5.22,Normal,Medium Risk
CINCINNATI FINANCIAL CORP,13.99,8.02,17.76,15.6,55.37,50.16,60.58,5.21,Normal,Medium Risk
OMEGA HEALTHCARE INVESTORS INC,8.78,1.95,23.22,21.4,55.35,50.14,60.56,5.21,Normal,Medium Risk
"Joby Aviation, Inc.",3.36,24.85,2.57,24.55,55.33,50.12,60.54,5.21,ANOMALY,Medium Risk
Cigna Group,17.7,21.64,15.16,0.82,55.32,50.11,60.53,5.21,Normal,Medium Risk
EQUITY RESIDENTIAL,8.5,2.5,23.29,20.99,55.28,50.07,60.49,5.21,Normal,Medium Risk
"W.W. GRAINGER, INC.",23.46,15.33,15.95,0.48,55.22,49.41,61.03,5.81,Normal,Medium Risk
MOOG INC.,11.56,18.38,20.16,5.08,55.18,49.97,60.39,5.21,Normal,Medium Risk
3M CO,21.02,11.93,14.4,7.82,55.17,49.96,60.38,5.21,Normal,Medium Risk
Solstice Advanced Materials Inc.,18.55,18.48,10.94,7.17,55.14,49.93,60.35,5.21,Normal,Medium Risk
MP Materials Corp. / DE,6.48,24.35,1.65,22.6,55.08,49.88,60.28,5.2,Normal,Medium Risk
WELLTOWER INC.,6.04,21.78,7.27,19.86,54.95,49.75,60.15,5.2,Normal,Low Risk
STARBUCKS CORP,23.97,19.07,8.95,2.95,54.94,49.74,60.14,5.2,Normal,Low Risk
NISOURCE INC.,4.12,7.89,22.21,20.68,54.9,49.1,60.7,5.8,Normal,Low Risk
FASTENAL CO,24.35,10.15,19.22,1.13,54.85,49.06,60.64,5.79,ANOMALY,Low Risk
"DICK'S SPORTING GOODS, INC.",21.95,22.33,8.26,2.3,54.84,49.05,60.63,5.79,Normal,Low Risk
NORFOLK SOUTHERN CORP,15.19,4.87,17.22,17.42,54.7,49.51,59.89,5.19,Normal,Low Risk
"Nutanix, Inc.",23.87,17.11,7.82,5.83,54.63,49.44,59.82,5.19,Normal,Low Risk
"Cheniere Energy, Inc.",17.49,5.11,18.96,13.03,54.59,49.41,59.77,5.18,Normal,Low Risk
JACOBS SOLUTIONS INC.,20.1,21.91,10.49,2.06,54.56,48.78,60.34,5.78,Normal,Low Risk
UNIVERSAL HEALTH SERVICES INC,13.75,16.12,21.62,3.05,54.54,48.76,60.32,5.78,Normal,Low Risk
LPL Financial Holdings Inc.,17.01,19.03,13.89,4.6,54.53,49.35,59.71,5.18,Normal,Low Risk
"TAPESTRY, INC.",20.99,20.75,7.85,4.84,54.43,49.25,59.61,5.18,Normal,Low Risk
Booking Holdings Inc.,23.83,22.39,3.43,4.56,54.21,49.04,59.38,5.17,Normal,Low Risk
MASTEC INC,15.4,21.16,16.05,1.58,54.19,49.02,59.36,5.17,Normal,Low Risk
"COOPER COMPANIES, INC.",5.28,10.67,19.79,18.42,54.16,48.99,59.33,5.17,Normal,Low Risk
METTLER TOLEDO INTERNATIONAL INC/,23.29,6.58,21.02,3.22,54.11,48.95,59.27,5.16,Normal,Low Risk
TopBuild Corp,15.05,6.45,18.11,14.44,54.05,48.89,59.21,5.16,Normal,Low Risk
Phillips 66,12.86,20.47,19.96,0.72,54.01,48.85,59.17,5.16,Normal,Low Risk
HOLOGIC INC,23.35,11.11,7.37,12.14,53.97,48.21,59.73,5.76,Normal,Low Risk
"Natera, Inc.",4.53,24.69,2.23,22.5,53.95,48.79,59.11,5.16,ANOMALY,Low Risk
AVALONBAY COMMUNITIES INC,9.02,3.09,21.16,20.64,53.91,48.75,59.07,5.16,Normal,Low Risk
CSX CORP,16.63,4.9,15.43,16.94,53.9,48.74,59.06,5.16,Normal,Low Risk
BENTLEY SYSTEMS INC,15.5,2.64,17.35,18.38,53.87,48.72,59.02,5.15,Normal,Low Risk
GoDaddy Inc.,23.8,8.81,12.6,8.64,53.85,48.1,59.6,5.75,Normal,Low Risk
HERSHEY CO,15.29,14.09,15.33,9.12,53.83,48.68,58.98,5.15,Normal,Low Risk
BERKSHIRE HATHAWAY INC,14.47,9.67,15.67,14.01,53.82,48.67,58.97,5.15,Normal,Low Risk
DTE ENERGY CO,2.54,13.27,20.56,17.39,53.76,48.01,59.51,5.75,Normal,Low Risk
QUEST DIAGNOSTICS INC,12.59,15.88,17.87,7.41,53.75,48.0,59.5,5.75,Normal,Low Risk
"L3HARRIS TECHNOLOGIES, INC. /DE/",10.7,5.35,17.56,20.1,53.71,48.56,58.86,5.15,Normal,Low Risk
YUM BRANDS INC,24.38,7.92,17.7,3.7,53.7,48.55,58.85,5.15,Normal,Low Risk
ROPER TECHNOLOGIES INC,7.61,7.65,20.82,17.56,53.64,48.49,58.79,5.15,Normal,Low Risk
TENET HEALTHCARE CORP,16.56,18.55,9.95,8.47,53.53,48.39,58.67,5.14,Normal,Low Risk
Kenvue Inc.,13.34,15.12,15.29,9.71,53.46,48.32,58.6,5.14,Normal,Low Risk
GRACO INC,24.88,5.9,15.19,7.24,53.21,47.48,58.94,5.73,ANOMALY,Low Risk
PG&E Corp,0.48,19.2,14.13,19.38,53.19,47.46,58.92,5.73,Normal,Low Risk
FRANKLIN RESOURCES INC,11.9,15.78,6.21,19.2,53.09,47.97,58.21,5.12,Normal,Low Risk
Vulcan Materials CO,9.57,11.18,20.61,11.73,53.09,47.97,58.21,5.12,Normal,Low Risk
Philip Morris International Inc.,23.66,4.6,15.64,9.16,53.06,47.94,58.18,5.12,Normal,Low Risk
INTERNATIONAL BUSINESS MACHINES CORP,19.1,9.88,11.45,12.55,52.98,47.86,58.1,5.12,Normal,Low Risk
Encompass Health Corp,11.21,15.23,21.12,5.32,52.88,47.76,58.0,5.12,Normal,Low Risk
GENUINE PARTS CO,8.64,22.7,18.62,2.88,52.84,47.13,58.55,5.71,Normal,Low Risk
RB GLOBAL INC.,9.95,15.47,13.31,14.06,52.79,47.68,57.9,5.11,Normal,Low Risk
"TKO Group Holdings, Inc.",6.93,19.75,10.39,15.67,52.74,47.63,57.85,5.11,Normal,Low Risk
PEPSICO INC,19.65,15.95,12.04,5.01,52.65,47.54,57.76,5.11,Normal,Low Risk
"CROWN HOLDINGS, INC.",15.23,18.24,13.79,5.38,52.64,46.93,58.35,5.71,Normal,Low Risk
EQT Corp,5.52,5.83,22.98,18.28,52.61,47.51,57.71,5.1,Normal,Low Risk
"CBRE GROUP, INC.",16.15,20.99,13.27,2.19,52.6,47.5,57.7,5.1,Normal,Low Risk
COLGATE PALMOLIVE CO,23.18,11.39,13.72,4.22,52.51,47.41,57.61,5.1,Normal,Low Risk
CORNING INC /NY,13.41,14.68,13.61,10.77,52.47,47.37,57.57,5.1,Normal,Low Risk
"C. H. ROBINSON WORLDWIDE, INC.",14.71,20.1,17.49,0.12,52.42,47.32,57.52,5.1,ANOMALY,Low Risk
XCEL ENERGY INC,1.2,8.98,21.83,20.4,52.41,46.71,58.11,5.7,Normal,Low Risk
LABCORP HOLDINGS INC.,10.94,18.28,16.98,6.1,52.3,47.21,57.39,5.09,Normal,Low Risk
"BlackRock, Inc.",14.88,2.37,12.0,22.87,52.12,47.04,57.2,5.08,Normal,Low Risk
American Homes 4 Rent,7.41,1.27,20.95,22.43,52.06,46.38,57.74,5.68,Normal,Low Risk
