Unnamed: 0,Company,CIK,Revenue,NetIncome,Assets,Liabilities,Cash,Risk Level,Data_Completeness
247,Aramark,1584509,14.6,0.33,13.3,9.445,0.64,Low Risk,80.0
248,WASTE MANAGEMENT INC,823768,14.48,2.71,45.84,35.84,0.2,Medium Risk,100.0
249,"Fidelity National Financial, Inc.",1331875,14.45,0.6,109.01,100.04,2.64,High Risk,100.0
250,Blackstone Inc.,1393818,14.45,3.02,47.71,25.83,2.63,Medium Risk,100.0
251,Otis Worldwide Corp,1781335,14.43,1.38,10.65,15.92,1.1,High Risk,100.0
252,ESTEE LAUDER COMPANIES INC,1001250,14.33,0.68,19.89,8.74,2.18,Low Risk,100.0
253,BORGWARNER INC,908255,14.32,0.28,13.77,8.15,1.84,Medium Risk,100.0
254,MASTEC INC,15615,14.3,0.4,9.92,6.59,0.4,Medium Risk,100.0
255,Parker-Hannifin Corp,76334,14.3,2.84,29.49,15.8,0.47,Medium Risk,100.0
256,Viatris Inc,1792044,14.3,0.0,37.19,22.48,1.32,Medium Risk,100.0
257,NEXTERA ENERGY INC,753308,14.26,6.83,212.72,146.24,2.81,Medium Risk,100.0
258,LABCORP HOLDINGS INC.,920148,13.95,0.88,18.39,9.76,0.53,Medium Risk,100.0
259,STATE STREET CORP,93751,13.94,2.94,366.05,338.21,0.3725,High Risk,80.0
260,"Venture Global, Inc.",2007855,13.77,0.98,53.45,41.45,2.35,Medium Risk,80.0
261,"DoorDash, Inc.",1792789,13.72,0.94,19.66,9.61,4.38,Low Risk,100.0
262,SEMPRA,1032208,13.7,1.84,110.88,9.445,0.03,Low Risk,80.0
263,DAVITA INC.,927066,13.64,0.75,17.48,16.32,0.68,High Risk,100.0
264,EVERSOURCE ENERGY,72741,13.55,-0.43,63.79,9.445,0.14,Low Risk,80.0
265,"DICK'S SPORTING GOODS, INC.",1089063,13.44,0.18,10.46,9.445,1.69,Low Risk,80.0
266,Unum Group,5513,13.08,0.74,63.52,52.4,0.3725,High Risk,80.0
267,LAS VEGAS SANDS CORP,1300514,13.02,1.63,21.92,19.99,3.84,High Risk,100.0
268,MPLX LP,1552000,13.0,3.93,43.01,28.48,2.14,Medium Risk,100.0
269,ENTERGY CORP /DE/,65984,12.95,2.36,71.89,9.445,1.93,Low Risk,80.0
270,RENAISSANCERE HOLDINGS LTD,913144,12.85,2.68,53.8,34.59,1.73,Medium Risk,100.0
271,Alcoa Corp,1675149,12.83,1.16,16.13,9.94,1.6,Medium Risk,100.0
272,"ASSURANT, INC.",1267238,12.81,0.87,36.29,30.42,1.83,High Risk,100.0
273,"BlackRock, Inc.",2012383,12.79,5.55,170.0,108.46,11.47,Medium Risk,100.0
274,CINCINNATI FINANCIAL CORP,20286,12.63,2.39,41.0,25.09,1.14,Medium Risk,100.0
275,DTE ENERGY CO,936340,12.61,1.46,54.07,9.445,0.21,Low Risk,80.0
276,"HUNTINGTON INGALLS INDUSTRIES, INC.",1501585,12.48,0.6,12.75,7.68,0.63,Medium Risk,100.0
277,CELESTICA INC,1030894,12.39,0.83,7.21,5.0,0.6,Medium Risk,100.0
278,NXP Semiconductors N.V.,1413447,12.27,2.02,26.56,9.445,3.27,Low Risk,80.0
279,Paramount Skydance Corp,2041610,12.27,-0.59,43.34,9.445,3.27,Low Risk,80.0
280,"Airbnb, Inc.",1559720,12.24,2.51,22.21,14.01,6.56,Medium Risk,100.0
281,AES CORP,874761,12.23,0.91,51.77,9.445,1.38,Low Risk,80.0
282,PUBLIC SERVICE ENTERPRISE GROUP INC,788784,12.17,2.11,57.58,9.445,0.13,Low Risk,80.0
283,KLA CORP,319201,12.16,4.06,16.07,11.38,2.08,Medium Risk,100.0
284,EXPAND ENERGY Corp,895126,12.12,1.82,28.29,9.71,0.62,Low Risk,100.0
285,DARDEN RESTAURANTS INC,940944,12.08,1.05,12.59,10.28,0.24,High Risk,100.0
286,"Air Products & Chemicals, Inc.",2969,12.04,-0.39,41.06,23.71,1.86,Medium Risk,100.0
287,Hilton Worldwide Holdings Inc.,1585689,12.04,1.46,16.77,22.12,0.92,High Risk,100.0
288,Booz Allen Hamilton Holding Corp,1443646,11.98,0.94,7.31,6.31,0.89,High Risk,100.0
289,"WILLIAMS COMPANIES, INC.",107263,11.95,2.62,58.57,9.445,0.15,Low Risk,80.0
290,CHIPOTLE MEXICAN GRILL INC,1058090,11.93,1.54,8.99,6.16,0.35,Medium Risk,100.0
291,"Chewy, Inc.",1766502,11.86,0.39,3.01,2.75,0.6,High Risk,100.0
292,Amrize Ltd,2035989,11.81,1.19,24.25,10.99,1.92,Low Risk,100.0
293,"Yum China Holdings, Inc.",1673358,11.8,0.93,10.78,4.68,0.51,Low Risk,100.0
294,"Equitable Holdings, Inc.",1333986,11.66,-1.38,317.99,316.2,12.46,High Risk,100.0
